timestep,env_name,algorithm,seed,training_type,normal_mean_reward,robust_mean_reward,obs_noise_0.1,obs_noise_0.2,action_noise_0.1,action_noise_0.2,obs_dropout_0.1,combined_mild,combined_strong,evaluation_date
20251205_120105,Ant-v4,a2c,42,baseline,-40.1874,-32.1628,-25.4386,-39.1139,-34.3180,-34.3442,-27.9173,-31.3565,-32.6510,2025-12-12 05:56:33
20251206_145252,Ant-v4,a2c,1,baseline,-29.8633,-31.7926,-41.5683,-42.5826,-25.3981,-25.4081,-30.8993,-20.6760,-36.0156,2025-12-12 05:56:34
20251206_185136,Ant-v4,a2c,,,-27.5239,-38.6433,-24.7533,-23.3524,-124.8787,-17.6816,-21.1819,-36.7495,-21.9053,2025-12-12 05:56:35
20251206_224941,Ant-v4,a2c,456,baseline,-36.8125,-35.9375,-32.4405,-52.6467,-24.0802,-25.8395,-69.9652,-20.5190,-26.0716,2025-12-12 05:56:36
20251207_024017,Ant-v4,a2c,789,baseline,-39.2049,-39.0468,-36.7457,-26.1958,-26.8460,-27.7843,-41.4514,-70.5912,-43.7128,2025-12-12 05:56:37
20251205_120105,Ant-v4,ppo,42,baseline,1870.8259,1625.9436,1767.3367,1812.5116,1258.3378,1335.3273,1869.5544,1548.1029,1790.4345,2025-12-12 05:57:30
20251206_145252,Ant-v4,ppo,1,baseline,2405.8948,2124.0773,2337.1709,2437.2990,2137.7796,1562.4526,1973.2630,2310.2284,2110.3475,2025-12-12 05:58:27
20251206_185137,Ant-v4,ppo,123,baseline,1701.7008,1291.9248,1260.4442,904.1082,1341.1311,996.1958,1937.0403,802.0635,1802.4905,2025-12-12 05:59:06
20251206_224941,Ant-v4,ppo,456,baseline,1888.3340,1442.5400,1106.9668,1464.7820,1202.1219,1540.5563,2109.9265,619.3994,2054.0273,2025-12-12 05:59:54
20251207_024017,Ant-v4,ppo,789,baseline,1673.4275,1374.0268,975.3146,1898.0585,799.2015,1168.6264,1742.4568,1213.0728,1821.4568,2025-12-12 06:00:45
20251205_120105,Ant-v4,sac,42,baseline,5045.2349,1709.0261,3326.8879,-113.5094,5133.8812,-876.7728,444.4759,2148.0749,1900.1452,2025-12-12 06:01:40
20251206_145252,Ant-v4,sac,1,baseline,2682.4995,1293.7010,632.6833,112.3817,2808.4548,2266.1457,508.7497,2276.8396,450.6524,2025-12-12 06:02:31
20251206_185137,Ant-v4,sac,123,baseline,4600.7837,2294.4871,2755.9762,689.0613,5334.0208,169.4662,699.4678,4773.1851,1640.2325,2025-12-12 06:03:19
20251206_224940,Ant-v4,sac,,,3737.9512,1911.9636,2511.2475,34.4966,3462.9340,3075.9697,1325.0996,1567.9275,1406.0701,2025-12-12 06:04:11
20251207_024017,Ant-v4,sac,789,baseline,2364.2056,1199.8006,2561.3170,705.2178,645.2355,999.6816,218.6522,2559.6367,708.8633,2025-12-12 06:05:00
20251205_120105,Ant-v4,td3,42,baseline,2671.2273,1148.1361,609.8150,-740.0060,2460.6498,1951.4166,1413.6980,2251.8383,89.5408,2025-12-12 06:05:34
20251206_145251,Ant-v4,td3,,,2770.3716,880.2643,1341.7469,-1026.7700,2525.2131,861.3395,-31.5347,2440.7703,51.0852,2025-12-12 06:06:06
20251206_185137,Ant-v4,td3,123,baseline,3064.3152,1509.5119,1555.2330,-30.8370,2892.9381,2112.0502,937.3855,2503.9010,595.9122,2025-12-12 06:06:43
20251206_224941,Ant-v4,td3,456,baseline,3324.8621,1024.9497,-0.2421,1.5685,3086.6935,2199.8758,-1087.6865,2624.2093,350.2292,2025-12-12 06:07:16
20251207_024017,Ant-v4,td3,789,baseline,3226.1108,247.3651,1204.4781,-1958.3055,2960.5869,-555.7368,20.3370,-13.5506,73.7467,2025-12-12 06:07:41
20251205_064642,HalfCheetah-v4,a2c,,,120.2943,127.0502,158.6677,102.4119,143.5921,280.2332,-135.4971,21.1826,318.7612,2025-12-12 06:08:32
20251205_081007,HalfCheetah-v4,a2c,1,baseline,126.0017,60.6872,233.4191,234.8003,80.4639,231.1946,-151.3526,-375.8554,172.1401,2025-12-12 06:09:23
20251205_120631,HalfCheetah-v4,a2c,123,baseline,-239.5076,-350.9009,-523.7180,-393.1311,-331.9985,-320.9054,-309.1076,-292.1436,-285.3023,2025-12-12 06:10:12
20251205_155825,HalfCheetah-v4,a2c,456,baseline,247.4144,344.4092,382.8680,430.4522,365.3387,269.3024,171.8328,487.4901,303.5802,2025-12-12 06:10:56
20251205_195400,HalfCheetah-v4,a2c,789,baseline,-92.9636,-42.2712,-49.0047,32.5401,-53.6674,-69.6737,-85.6434,-69.2462,-1.2032,2025-12-12 06:11:43
20251205_041048,HalfCheetah-v4,ppo,,,1201.0948,1407.5878,1834.6973,1668.4254,328.3546,1206.2475,1371.0001,1806.1559,1638.2341,2025-12-12 06:12:25
20251205_081007,HalfCheetah-v4,ppo,1,baseline,1312.6716,1231.3973,1454.9890,1410.0379,1253.1400,1163.2388,674.3280,1290.8232,1373.2244,2025-12-12 06:13:14
20251205_120630,HalfCheetah-v4,ppo,,,1628.4454,1469.1269,1642.1329,1646.4910,1504.0903,1243.2396,1171.1949,1556.3021,1520.4370,2025-12-12 06:14:03
20251205_155824,HalfCheetah-v4,ppo,,,1632.2407,1426.3277,1688.8841,1533.0994,1389.6383,1229.2991,1139.9429,1503.5217,1499.9085,2025-12-12 06:14:48
20251205_195400,HalfCheetah-v4,ppo,789,baseline,1466.6279,1349.9994,1368.9242,1488.4565,1357.7250,1164.6557,1191.7773,1500.9438,1377.5136,2025-12-12 06:15:36
20251205_040500,HalfCheetah-v4,sac,42,baseline,7623.6421,4160.2835,3472.2216,2025.4812,6929.9019,5696.4631,3409.1601,5240.7611,2347.9953,2025-12-12 06:16:30
20251205_081007,HalfCheetah-v4,sac,1,baseline,6599.7373,4220.2695,4208.3288,2316.1961,6115.0404,4993.0743,3583.9224,5494.7382,2830.5861,2025-12-12 06:17:34
20251205_120630,HalfCheetah-v4,sac,,,2351.0491,1318.5224,1055.0248,403.2469,2200.2371,1968.9600,1154.5095,1795.0754,652.6033,2025-12-12 06:18:31
20251205_155824,HalfCheetah-v4,sac,,,9238.5752,4534.4755,3091.5682,1575.7828,8566.2558,7220.5736,4314.7964,4967.0625,2005.2891,2025-12-12 06:19:27
20251205_195400,HalfCheetah-v4,sac,789,baseline,8683.9199,4808.1049,3850.2752,2169.6813,8422.0317,7221.4396,4079.9833,5520.0206,2393.3028,2025-12-12 06:20:23
20251205_044348,HalfCheetah-v4,td3,42,baseline,4568.5156,2841.0178,2877.2562,1352.6751,4020.4424,3573.8473,2788.3145,3573.4654,1701.1234,2025-12-12 06:20:57
20251205_081007,HalfCheetah-v4,td3,1,baseline,6220.2754,3526.5394,3294.3789,1661.0313,5398.2460,4565.6120,3324.3526,4366.1010,2076.0541,2025-12-12 06:21:24
20251205_120631,HalfCheetah-v4,td3,123,baseline,4710.8682,3108.4411,2618.1180,1893.0380,4346.2500,4055.3513,3155.6810,4018.1477,1672.5017,2025-12-12 06:21:58
