env_name,training_type,algorithm,count,normal_reward_mean,normal_reward_std,robust_reward_mean,robust_reward_std
Ant-v4,baseline,a2c,5,-34.7184,5.0942,-35.5166,3.0832
Ant-v4,baseline,ppo,5,1908.0366,263.5343,1571.7025,297.3531
Ant-v4,baseline,sac,5,3686.1350,1043.1875,1681.7957,403.0003
Ant-v4,baseline,td3,5,3011.3774,253.3659,962.0454,413.7058
HalfCheetah-v4,baseline,a2c,5,32.2478,174.5666,27.7949,227.8148
HalfCheetah-v4,baseline,ppo,5,1448.2161,170.9549,1376.8878,82.2014
HalfCheetah-v4,baseline,sac,5,6899.3847,2447.7774,3808.3312,1266.4552
HalfCheetah-v4,baseline,td3,5,4361.0411,1528.4682,2733.1614,866.6838
Hopper-v4,baseline,a2c,10,180.7205,16.1018,186.0731,25.0247
Hopper-v4,baseline,ppo,5,3179.6747,685.7577,1400.1576,349.6452
Hopper-v4,baseline,sac,5,2441.1826,981.2250,1046.2901,372.8698
Hopper-v4,baseline,td3,13,1391.5855,1427.5461,707.9449,607.8045
Hopper-v4,llm-acl,a2c,4,211.0959,60.7656,201.6214,67.4333
Hopper-v4,llm-acl,td3,1,3545.5356,0.0000,1287.2027,0.0000
Humanoid-v4,baseline,a2c,4,172.0848,47.3780,166.9848,44.3330
Humanoid-v4,baseline,ppo,6,498.1260,67.7269,492.8511,44.0503
Humanoid-v4,baseline,sac,7,5549.9335,192.5749,4586.9190,582.9478
Humanoid-v4,baseline,td3,5,127.7570,55.9502,132.1076,60.1303
Humanoid-v4,llm-acl,ppo,3,448.9535,18.1695,481.4709,19.7739
Humanoid-v4,llm-acl,sac,2,3419.1503,1987.6310,3767.9902,960.7330
LunarLanderContinuous-v3,baseline,a2c,5,-78.5843,80.4767,-153.8462,154.3915
LunarLanderContinuous-v3,baseline,ppo,8,206.5663,51.9618,136.2395,36.2137
LunarLanderContinuous-v3,baseline,sac,7,240.9156,93.8926,123.7374,79.5572
LunarLanderContinuous-v3,baseline,td3,7,276.9146,5.9872,153.9522,23.1660
LunarLanderContinuous-v3,llm-acl,ppo,1,244.8785,0.0000,128.3839,0.0000
LunarLanderContinuous-v3,llm-acl,sac,2,270.5132,4.8339,135.3209,22.7264
LunarLanderContinuous-v3,llm-acl,td3,1,280.0426,0.0000,147.5210,0.0000
